term	score	AffectDimension
indigné	0.964	anger
brutalité	0.959	anger
haine	0.953	anger
odieux	0.94	anger
terroriser	0.939	anger
furieux	0.938	anger
violemment	0.938	anger
furieux	0.929	anger
furieux	0.927	anger
furieusement	0.927	anger
allez vous faire foutre	0.924	anger
meurtrier	0.922	anger
fureur	0.922	anger
exécution	0.917	anger
irrité	0.916	anger
sauvagerie	0.915	anger
abattage	0.914	anger
très en colère	0.913	anger
assassiner	0.912	anger
annihilation	0.912	anger
fuckoff	0.912	anger
rage	0.911	anger
détester	0.909	anger
damnation	0.906	anger
fucktard	0.906	anger
homicide	0.906	anger
rage au volant	0.906	anger
scandale	0.9	anger
hostile	0.898	anger
annihiler	0.898	anger
meurtre	0.897	anger
rage	0.896	anger
explosif	0.894	anger
exaspère	0.894	anger
bourré	0.894	anger
féroce	0.894	anger
effacé	0.894	anger
râpé	0.894	anger
vengeur	0.894	anger
tellement énervé	0.894	anger
meurtre	0.893	anger
combatif	0.891	anger
gofuckyourself	0.886	anger
vengeance	0.886	anger
colère	0.885	anger
tourmenter	0.885	anger
vicieux	0.884	anger
massacre	0.882	anger
menaçant	0.882	anger
odieux	0.875	anger
faire chier	0.875	anger
sanguinaire	0.875	anger
combat	0.868	anger
attaquer	0.865	anger
annihilé	0.865	anger
effusion de sang	0.864	anger
le plus en colère	0.864	anger
frapper	0.862	anger
bagarre	0.861	anger
mal intentionné	0.859	anger
tirade	0.859	anger
agression	0.859	anger
hostilité	0.859	anger
exploser	0.859	anger
assassinat	0.859	anger
étrangler	0.859	anger
détestable	0.857	anger
meurtrier	0.853	anger
attaque	0.853	anger
enfer	0.853	anger
malice	0.852	anger
terrorisme	0.851	anger
battement	0.849	anger
profanation	0.848	anger
pissingmeoff	0.848	anger
outrage	0.848	anger
détruire	0.844	anger
furieux	0.844	anger
exaspérer	0.844	anger
poignarder	0.844	anger
violent	0.844	anger
tumultueux	0.844	anger
abomination	0.844	anger
abattage	0.844	anger
effacer	0.843	anger
belligérant	0.841	anger
imbécile	0.841	anger
détester	0.838	anger
hostilités	0.837	anger
piquer	0.835	anger
torture	0.833	anger
enragé	0.833	anger
